name	name_ru	card_title	card_title_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	platform	ignore
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Hotiml	Хотимль	56.6518927	41.70389578	Russian	146350	spoco	
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Domnino	Домнино	56.66192686	41.73584579	Russian	146350	spoco	
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Ryapolovo	Ряполово	56.68935588	41.6998953	Russian	146350	spoco	
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Pogorelka	Погорелка	56.72199584	42.63165596	Russian	146350	spoco	
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Volokobino	Волокобино	56.69510052	41.63889586	Russian	146350	spoco	
Corpus of Opochetsky dialects	Корпус опочецких говоров	Opochetsky dialects	Опочецкие говоры	https://lingconlab.ru/opochka/	corpus	корпус	dialectal	диалектный	Balashi	Балаши	56.81753039	28.68758591	Russian	68741	spoco	
Corpus of Opochetsky dialects	Корпус опочецких говоров	Opochetsky dialects	Опочецкие говоры	https://lingconlab.ru/opochka/	corpus	корпус	dialectal	диалектный	Barabany	Барабаны	56.79410375	28.68412406	Russian	68741	spoco	
Corpus of Opochetsky dialects	Корпус опочецких говоров	Opochetsky dialects	Опочецкие говоры	https://lingconlab.ru/opochka/	corpus	корпус	dialectal	диалектный	Glazanovo	Глазаново	56.81320003	28.68239364	Russian	68741	spoco	
Corpus of Opochetsky dialects	Корпус опочецких говоров	Opochetsky dialects	Опочецкие говоры	https://lingconlab.ru/opochka/	corpus	корпус	dialectal	диалектный	Kadnikovo	Кадниково	56.81217883	28.6973235	Russian	68741	spoco	
Corpus of Opochetsky dialects	Корпус опочецких говоров	Opochetsky dialects	Опочецкие говоры	https://lingconlab.ru/opochka/	corpus	корпус	dialectal	диалектный	Purshevo	Пуршево	56.77160879	28.67069343	Russian	68741	spoco	
Corpus of Rogovatka dialect	Корпус говора села Роговатка	Rogovatka dialect	Говор с. Роговатка	https://lingconlab.ru/rogovatka/	corpus	корпус	dialectal	диалектный	Rogovatoye	Роговатое	51.25013418	38.37745429	Russian	100047	spoco	
Corpus of Russian spoken in Zvenigorod	Корпус говора города Звенигород	Zvenigorod dialect	Говор г. Звенигород	https://lingconlab.ru/zvenigorod/	corpus	корпус	dialectal	диалектный	Zvenigorod	Звенигород	55.72446427	36.83595508	Russian	68324	spoco	
Corpus of Shetnevo and Makeevo dialect	Корпус говора деревень Шетнево и Макеево	Shetnevo and Makeevo dialect	Говор д. Шетнево и Макеево	https://lingconlab.ru/shetnevo/	corpus	корпус	dialectal	диалектный	Shetnevo	Шетнево	56.22927238	31.61327475	Russian	95335	spoco	
